// TODO: change parser to treat >> as override for spanish pronunciation


// PEOPLE
grandson, nieto
granddaughter, nieta

nephew, sobrino
niece, sobrina

cousin, primo/prima >> primo
teenager, el/la adolescente
stranger, extraño/extraña >> extraño
old lady, anciana
old man, anciano

// -------------------------------------------------

// CLOTHING
belt, el cinturón
blouse, blusa
boxers, bóxers
bra, el sostén
coat (clothing), abrigo
dress, vestido
hat, sombrero
jacket, chaqueta
pajamas, el pijama
shirt, camisa
T-shirt, camiseta
shorts, los shorts
skirt, falda
socks, calcetines
suit, el traje
sweater, el suéter
swimsuit, el traje de baño
tie, corbata
underwear, ropa interior

sandals, sandalias
slippers, zapatillas
jewelry, la joyería
bracelet, pulsera
earrings, los aretes
necklace, el collar
ring (jewelry), anillo/sortija >> anillo
