// some random more nouns I'm adding

bow tie, el corbatín
zipper, el cierre / la cremallera >> cierre
shoelace, el cordón
ball cap, gorra
cotton, el algodón
purse, bolso / cartera >> bolso
wallet, cartera / billetera >> cartera
glove, el guante


// plants
bush / shrub, arbusto
vine, la vid / enredadera >> vid
flower, la flor
leaf, hoja
stem, el tallo


// animals
scorpion, el alacrán
cardinal, el cardenal
hummingbird, el colibrí
tusk, colmillo
chameleon, el camaleón
antler, el asta / cuerno >> asta
horn (of animal), cuerno
crow, cuervo
sparrow, el gorrión
caterpillar, oruga
iguana, iguana
dragonfly, libélula
llama, llama
parrot, loro
monkey, mono
woodpecker, el <pájaro carpintero>
grasshopper, el saltamontes
snake, la serpiente / culebra >> serpiente


// clothing
flippers (animal / swimming accessory), las aletas
sand, arena
seaweed, el alga
sunscreen, el <protector solar>
dune, duna
glasses, gafas / los lentes >> gafas
sunglasses, gafas de sol / los lentes de sol >> gafas de sol
sea, el mar
ocean, el océano
tide, marea
wave (water), ola
shore, costa (of sea) / orilla (other, like lake) >> costa
towel, toalla, paño (cloth) >> toalla

// weather, climate
tornado, tornado
hurricane, el huracán
flood, la inundación / diluvio / riada >> inundación
rain, lluvia
snow, la nieve
sun, el sol
temperature, la temperatura
cloud, la nube
fog, niebla
mist, neblina
drizzle, llovizna
wind, viento
humidity, la humedad
storm, tormenta
thunder, trueno
lightning, el relámpago
breeze, brisa
hail, granizo
ice, hielo (yeh-loh)
heat, el calor
cold, el frío
forecast (weather), el pronóstico
weather, tiempo
climate, el clima
downpour, aguacero / el chaparrón / chubasco (with lots of wind) >> aguacero
sleet, la aguanieve
umbrella (for rain), el paraguas


// change lizard to have lagartija as well as lagarto

