// more numbers
100, cien
101, <ciento uno>
120, <ciento veinte>
200, doscientos
300, trescientos
400, cuatrocientos
500, quinientos
600, seisientos
700, setecientos
800, ochocientos
900, novecientos
1000, mil
2000, <dos mil>
million, millón
billion, billón
trillion, trillón
infinity, la infinidad

// family members
baby, el/la bebé OR el nene/la nena >> bebé
boyfriend/girlfriend, novio/novia >> novio
brother/sister in law, cuñado/cuñada >> cuñado
daughter-in-law, nuera / la hija política >> nuera
father-in-law, suegro/ padre político >> suegro
husband/wife, esposo/esposa >> esposo
neighbor, vecino/vecina >> vecino
great-grandson/great-granddaughter, bisnieto/bisnieta >> bisnieto
great-grandfather/great-grandmother, bisabuelo/bisabuela > bisabuelo
stepbrother/stepsister, hermanastro/hermanastra > hermanastro
stepson/stepdaughter, hijastro/hijastra >> hijastro
stepdad/stepmother, padrastro/madrastra >> padrastro

// more animals
bird, pájaro
bull, toro
gerbil, gerbo
goldfish, el <pez de colores>
gopher, el geomís
hamster, el hámster
hedgehog, erizo
penguin, pingüino
chimpanzee, el chimpancé
grizzly bear, <oso grizzly>
hen, gallina
lamb, cordero (<1 years old) / borrego (>1 years old) >> cordero
raccoon, el mapache
rooster, gallo
skunk, mofeta
turkey, pavo
snail, el caracol
starfish, <estrella de mar>
turtle/tortoise, tortuga

// insects
flea, pulga
ladybug, mariquita
lobster, el bogavante/ la langosta >> bogavante
locust, langosta
moth, palomilla/polilla
tick (animal), garrapata
worm, gusano

// around the house vocab
apartment, apartamento / piso (spain) >> apartamento
building, edificio / la construcción >> edificio
attic, ático / altillo/ el desván >> ático
basement, sótano
bathroom, baño / el cuarto de baño (formal) >> baño
bedroom, la habitación / cuarto / dormitorio / alcoba >> habitación
closet, armario / el clóset >> armario
dining room, el comedor
garage (of home), el garaje
hall, vestíbulo
laundry room, lavadero
living room, sala de estar / sala / el salón >> sala
master bedroom, <dormitorio principal>
office/study (room of home), despacho
pantry, despensa
porch, el porche
shower, ducha
stairs, las escaleras


