// random words
brown, café
orange (color), anaranjado
yellow, amarillo
key / device that controls flow of something ie faucet / tap (water), la llave
hallway / corridor / aisle, pasillo

// common adjectives
attractive, atractivo
half / average (ordinary aka adjective), medio
beautiful, hermoso / bello >> hermoso
blond (hair-color), rubio
fat (overweight), gordo
left-handed / lefty, zurdo
cute / pretty, lindo
pretty / lovely, bonito
handsome / hot, guapo
nice / friendly, simpático
kind, amable
plump / chubby, rechoncho
right-handed / righty, diestro
short (not long in duration or length), corto
short (not tall) / low, bajo
slender / slim, delgado
skinny / thin, flaco / delgago >> flaco
thin (not thick) / fine, fino
modern / trendy, moderno
ugly, feo
young (adjective), joven

// adjectives used to describe objects
wide / broad / width (noun), ancho
wide / spacious, amplio
cheap / inexpensive, barato
clean, limpio
dark, oscuro
dirty, sucio
empty, vacío
expensive / costly, caro / costoso >> caro
flat, plano / llano >> plano
hard (not soft) / tough / harsh, duro
clear / light-colored, claro
light (not heavy), ligero
long (length or duration), largo
soft / smooth (pleasant to touch), suave
smooth (flat / even), liso
wonderful / marvelous, maravilloso

// cognate words (almost identical spanish <=> english)
absurd, absurdo
circular, circular
elegant, elegante
magnificent, magnífico
obvious, obvio
rectangular, rectangular
regular, regular
splendid, espléndido
terrible, terrible

// other verbs
admit, admitir
to attend, asistir (a)
cover (conceal), cubrir / tapar >> cubrir
describe, describir
to discover, descubrir
to argue / discuss, discutir
to climb, subir
suffer, sufrir
to join / unite, unir

// educational levels
kindergarten, el kindergarten / el kínder / el jardín de infancia >> kindergarten
elementary school, <escuela primaria>
middle school, <escuela media>
high school, <escuela secundaria>
university / college, la universidad
school, escuela / el colegio >> colegio
internship, pasantía
boarding school, internado
residency (medicine), residencia / internado >> residencia






