// classes vocab
art, el arte
biology, biología
business (economics / finance), <los negocios>
chemistry, química
geography, geografía
gymnastics, la gimnástica
history / story (factual account), historia
record (background information) / history, el historial
law, la ley
literature, literatura
mathematics, <las matemáticas>
medicine, medicina
music, música
philosophy, filosofía
physics, física
psychology, psicología
science, ciencia

// classroom supplies
backpack, mochila
blackboard / chalkboard, pizarra
calculator, calculador
chalk, tiza
clock / wristwatch, el reloj
computer, computadora
dictionary, diccionario
eraser, el borrador
draft (preliminary version of writing), borrador

glue, pegamento
ink, tinta
map, el mapa
notebook, cuaderno / libreta >> cuaderno
paper (material) / role, el papel
pen, el bolígrafo / la pluma >> bolígrafo
pencil, el lápiz
ruler / rule, regla
scissors, tijeras
ribbon / tape (adhesive and also music/TV), cinta
tape measure, <cinta métrica>

// rooms / areas in school
elevator, el ascensor
lab, laboratorio
library, biblioteca
playground, <patio de recreo>
stage (platform for event), escenario
swimming pool, piscina

// people in school
cook, cocinero
nurse, enfermero
teacher, profesor(a) / maestro/a >> profesor

// teaching basics
homework / task, tarea
rehearsal / essay, ensayo
note / grade, nota
letter (written note) / menu, carta
quiz / proof, prueba
survey, encuesta
exam / test, examen

// words ending in ía
ticket office, boletería
café / coffee shop / cafeteria (dining hall), cafetería
hardware store, ferretería
book store, librería
clothing store, <tienda de ropa>






